"Status","Name","Duration in ms","Description"
"passed","test_staff.TestLogin#test_login_case[test_login2]","0",""
"passed","test_staff.TestModiDel#test_delete_staff","700","此用例验证删除员工信息是否成功"
"failed","test_staff.TestLogin#test_login_case[test_login1]","0",""
"failed","test_staff.TestLogin#test_login_case[test_login0]","0",""
"passed","test_staff.TestAddSearch#test_search_staff[test_login0]","1",""
"passed","test_staff.TestAddSearch#test_add_staff[staff_info1-test_login0]","1001",""
"passed","test_staff.TestAddSearch#test_add_staff[staff_info0-test_login0]","1003",""
"passed","test_staff.TestModiDel#test_modify_staff","0",""
"passed","test_staff.TestAddSearch#test_add_staff[staff_info2-test_login0]","1005",""
